2026-07-08 13:29:22 | INFO     | crawler              |   ConnectTimeout on http, retrying https: https://facultad.pucp.edu.pe/arte/informacion-academica/diseno-grafico/plan-de-estudios
2026-07-08 13:29:24 | WARNING  | crawler              |   HTTP 404: https://facultad.pucp.edu.pe/arte/informacion-academica/diseno-grafico/plan-de-estudios
2026-07-08 13:31:13 | INFO     | crawler              |   ConnectTimeout on http, retrying https: https://facultad.pucp.edu.pe/arte/informacion-academica/diseno-industrial/plan-de-estudios
2026-07-08 13:31:14 | WARNING  | crawler              |   HTTP 404: https://facultad.pucp.edu.pe/arte/informacion-academica/diseno-industrial/plan-de-estudios
2026-07-08 13:33:04 | INFO     | crawler              |   ConnectTimeout on http, retrying https: https://facultad.pucp.edu.pe/arte/informacion-academica/escultura/plan-de-estudios
2026-07-08 13:33:05 | WARNING  | crawler              |   HTTP 404: https://facultad.pucp.edu.pe/arte/informacion-academica/escultura/plan-de-estudios
2026-07-08 13:34:54 | INFO     | crawler              |   ConnectTimeout on http, retrying https: https://facultad.pucp.edu.pe/arte/informacion-academica/pintura/plan-de-estudios
2026-07-08 13:34:55 | WARNING  | crawler              |   HTTP 404: https://facultad.pucp.edu.pe/arte/informacion-academica/pintura/plan-de-estudios
2026-07-08 13:36:45 | INFO     | crawler              |   ConnectTimeout on http, retrying https: https://facultad.pucp.edu.pe/arte/informacion-academica/arte-moda-diseno-textil/plan-de-estudios
2026-07-08 13:36:46 | WARNING  | crawler              |   HTTP 404: https://facultad.pucp.edu.pe/arte/informacion-academica/arte-moda-diseno-textil/plan-de-estudios
2026-07-08 13:38:35 | INFO     | crawler              |   ConnectTimeout on http, retrying https: https://facultad.pucp.edu.pe/arte/informacion-academica/grabado/plan-de-estudios
2026-07-08 13:38:36 | WARNING  | crawler              |   HTTP 404: https://facultad.pucp.edu.pe/arte/informacion-academica/grabado/plan-de-estudios
2026-07-08 13:40:26 | INFO     | crawler              |   ConnectTimeout on http, retrying https: https://facultad.pucp.edu.pe/artes-escenicas/especialidades/danza/plan-de-estudios
2026-07-08 13:40:27 | WARNING  | crawler              |   HTTP 404: https://facultad.pucp.edu.pe/artes-escenicas/especialidades/danza/plan-de-estudios
2026-07-08 13:40:27 | DEBUG    | crawler              | robots.txt unreadable for https://facultad-artes-escenicas.pucp.edu.pe: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1028)> (allowing)
2026-07-08 13:40:29 | DEBUG    | crawler              |   HTML (318,669b) depth=1: https://facultad-artes-escenicas.pucp.edu.pe/teatro/plan-de-estudio
2026-07-08 13:40:29 | DEBUG    | extractor            | Block extraction: 22 from https://facultad-artes-escenicas.pucp.edu.pe/especialidades/musica/plan-de-estudio/plan-de-estudio-ejecucion-musical
